Endpoint ID,Model Name
nvidia/nemotron-3.5-content-safety:free,NVIDIA: Nemotron 3.5 Content Safety (free)
nvidia/nemotron-3-ultra-550b-a55b:free,NVIDIA: Nemotron 3 Ultra (free)
nvidia/nemotron-3-ultra-550b-a55b,NVIDIA: Nemotron 3 Ultra
qwen/qwen3.7-plus,Qwen: Qwen3.7 Plus
minimax/minimax-m3,MiniMax: MiniMax M3
stepfun/step-3.7-flash,StepFun: Step 3.7 Flash
anthropic/claude-opus-4.8-fast,Anthropic: Claude Opus 4.8 (Fast)
anthropic/claude-opus-4.8,Anthropic: Claude Opus 4.8
qwen/qwen3.7-max,Qwen: Qwen3.7 Max
x-ai/grok-build-0.1,xAI: Grok Build 0.1
google/gemini-3.5-flash,Google: Gemini 3.5 Flash
anthropic/claude-opus-4.7-fast,Anthropic: Claude Opus 4.7 (Fast)
openrouter/fusion,OpenRouter: Fusion
perceptron/perceptron-mk1,Perceptron: Perceptron Mk1
inclusionai/ring-2.6-1t,inclusionAI: Ring-2.6-1T
google/gemini-3.1-flash-lite,Google: Gemini 3.1 Flash Lite
openai/gpt-chat-latest,OpenAI: GPT Chat Latest
x-ai/grok-4.3,xAI: Grok 4.3
ibm-granite/granite-4.1-8b,IBM: Granite 4.1 8B
mistralai/mistral-medium-3-5,Mistral: Mistral Medium 3.5
openrouter/owl-alpha,Owl Alpha
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,NVIDIA: Nemotron 3 Nano Omni (free)
poolside/laguna-xs.2:free,Poolside: Laguna XS.2 (free)
poolside/laguna-m.1:free,Poolside: Laguna M.1 (free)
~anthropic/claude-haiku-latest,Anthropic Claude Haiku Latest
~openai/gpt-mini-latest,OpenAI GPT Mini Latest
~google/gemini-pro-latest,Google Gemini Pro Latest
~moonshotai/kimi-latest,MoonshotAI Kimi Latest
~google/gemini-flash-latest,Google Gemini Flash Latest
~anthropic/claude-sonnet-latest,Anthropic Claude Sonnet Latest
~openai/gpt-latest,OpenAI GPT Latest
qwen/qwen3.5-plus-20260420,Qwen: Qwen3.5 Plus 2026-04-20
qwen/qwen3.6-flash,Qwen: Qwen3.6 Flash
qwen/qwen3.6-35b-a3b,Qwen: Qwen3.6 35B A3B
qwen/qwen3.6-max-preview,Qwen: Qwen3.6 Max Preview
qwen/qwen3.6-27b,Qwen: Qwen3.6 27B
openai/gpt-5.5-pro,OpenAI: GPT-5.5 Pro
openai/gpt-5.5,OpenAI: GPT-5.5
deepseek/deepseek-v4-pro,DeepSeek: DeepSeek V4 Pro
deepseek/deepseek-v4-flash,DeepSeek: DeepSeek V4 Flash
inclusionai/ling-2.6-1t,inclusionAI: Ling-2.6-1T
tencent/hy3-preview,Tencent: Hy3 preview
xiaomi/mimo-v2.5-pro,Xiaomi: MiMo-V2.5-Pro
xiaomi/mimo-v2.5,Xiaomi: MiMo-V2.5
openai/gpt-5.4-image-2,OpenAI: GPT-5.4 Image 2
inclusionai/ling-2.6-flash,inclusionAI: Ling-2.6-flash
~anthropic/claude-opus-latest,Anthropic: Claude Opus Latest
openrouter/pareto-code,Pareto Code Router
moonshotai/kimi-k2.6:free,MoonshotAI: Kimi K2.6 (free)
moonshotai/kimi-k2.6,MoonshotAI: Kimi K2.6
anthropic/claude-opus-4.7,Anthropic: Claude Opus 4.7
anthropic/claude-opus-4.6-fast,Anthropic: Claude Opus 4.6 (Fast)
z-ai/glm-5.1,Z.ai: GLM 5.1
google/gemma-4-26b-a4b-it:free,Google: Gemma 4 26B A4B  (free)
google/gemma-4-26b-a4b-it,Google: Gemma 4 26B A4B 
google/gemma-4-31b-it:free,Google: Gemma 4 31B (free)
google/gemma-4-31b-it,Google: Gemma 4 31B
qwen/qwen3.6-plus,Qwen: Qwen3.6 Plus
z-ai/glm-5v-turbo,Z.ai: GLM 5V Turbo
arcee-ai/trinity-large-thinking,Arcee AI: Trinity Large Thinking
x-ai/grok-4.20-multi-agent,xAI: Grok 4.20 Multi-Agent
x-ai/grok-4.20,xAI: Grok 4.20
google/lyria-3-pro-preview,Google: Lyria 3 Pro Preview
google/lyria-3-clip-preview,Google: Lyria 3 Clip Preview
kwaipilot/kat-coder-pro-v2,Kwaipilot: KAT-Coder-Pro V2
rekaai/reka-edge,Reka Edge
minimax/minimax-m2.7,MiniMax: MiniMax M2.7
openai/gpt-5.4-nano,OpenAI: GPT-5.4 Nano
openai/gpt-5.4-mini,OpenAI: GPT-5.4 Mini
mistralai/mistral-small-2603,Mistral: Mistral Small 4
z-ai/glm-5-turbo,Z.ai: GLM 5 Turbo
nvidia/nemotron-3-super-120b-a12b:free,NVIDIA: Nemotron 3 Super (free)
nvidia/nemotron-3-super-120b-a12b,NVIDIA: Nemotron 3 Super
bytedance-seed/seed-2.0-lite,ByteDance Seed: Seed-2.0-Lite
qwen/qwen3.5-9b,Qwen: Qwen3.5-9B
openai/gpt-5.4-pro,OpenAI: GPT-5.4 Pro
openai/gpt-5.4,OpenAI: GPT-5.4
inception/mercury-2,Inception: Mercury 2
openai/gpt-5.3-chat,OpenAI: GPT-5.3 Chat
google/gemini-3.1-flash-lite-preview,Google: Gemini 3.1 Flash Lite Preview
bytedance-seed/seed-2.0-mini,ByteDance Seed: Seed-2.0-Mini
google/gemini-3.1-flash-image-preview,Google: Nano Banana 2 (Gemini 3.1 Flash Image Preview)
qwen/qwen3.5-35b-a3b,Qwen: Qwen3.5-35B-A3B
